"location","origin_date","target_end_date","horizon","quantile","output_type_id","value","target","output_type","region"
"HHS Region 1",2019-03-30,2019-04-06,1,"1%",0.01,0.968030130297649,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-06,1,"2.5%",0.025,1.00157681986106,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-06,1,"5%",0.05,1.15835961231796,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-06,1,"10%",0.1,1.34896756262352,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-06,1,"15%",0.15,1.42571532246789,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-06,1,"20%",0.2,1.51231307857437,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-06,1,"25%",0.25,1.62440210734102,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-06,1,"30%",0.3,1.67371425453197,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-06,1,"35%",0.35,1.69784055603014,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-06,1,"40%",0.4,1.7742445111034,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-06,1,"45%",0.45,1.86317864984247,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-06,1,"50%",0.5,57.8653316999008,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-06,1,"55%",0.55,57.8653316999008,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-06,1,"60%",0.6,57.8653316999008,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-06,1,"65%",0.65,57.8653316999008,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-06,1,"70%",0.7,57.8653316999008,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-06,1,"75%",0.75,57.8653316999008,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-06,1,"80%",0.8,57.8653316999008,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-06,1,"85%",0.85,57.8653316999008,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-06,1,"90%",0.9,57.8653316999008,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-06,1,"95%",0.95,57.8653316999008,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-06,1,"97.5%",0.975,57.8653316999008,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-06,1,"99%",0.99,57.8653316999008,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-13,2,"1%",0.01,0.945152988806832,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-13,2,"2.5%",0.025,0.99555201127901,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-13,2,"5%",0.05,1.13290614395861,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-13,2,"10%",0.1,1.30644266829519,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-13,2,"15%",0.15,1.37725945488108,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-13,2,"20%",0.2,1.46825701303263,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-13,2,"25%",0.25,1.57669443290848,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-13,2,"30%",0.3,1.62945975831279,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-13,2,"35%",0.35,1.66779778037587,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-13,2,"40%",0.4,1.74188283205554,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-13,2,"45%",0.45,1.83209874864675,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-13,2,"50%",0.5,50.6937444304711,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-13,2,"55%",0.55,50.6937444304711,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-13,2,"60%",0.6,50.6937444304711,"ili perc","quantile","hhs1"
"HHS Region 1",2019-03-30,2019-04-13,2,"65%",0.65,50.6937444304711,"ili perc","quantile","hhs1"
