"location","origin_date","target_end_date","horizon","quantile","output_type_id","value","target","output_type","region"
"HHS Region 1",2018-11-10,2018-11-17,1,"1%",0.01,0.803520417594282,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-10,2018-11-17,1,"2.5%",0.025,0.826966504271979,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-10,2018-11-17,1,"5%",0.05,0.869429765030308,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-10,2018-11-17,1,"10%",0.1,0.953277677999216,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-10,2018-11-17,1,"15%",0.15,1.00429256796419,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-10,2018-11-17,1,"20%",0.2,1.05739139980791,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-10,2018-11-17,1,"25%",0.25,1.11305125001984,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-10,2018-11-17,1,"30%",0.3,1.14132561965793,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-10,2018-11-17,1,"35%",0.35,1.15115785780376,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-10,2018-11-17,1,"40%",0.4,1.18172948286758,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-10,2018-11-17,1,"45%",0.45,1.24042538748816,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-10,2018-11-17,1,"50%",0.5,2.02878470086573,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-10,2018-11-17,1,"55%",0.55,2.02878470086573,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-10,2018-11-17,1,"60%",0.6,2.02878470086573,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-10,2018-11-17,1,"65%",0.65,2.02878470086573,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-10,2018-11-17,1,"70%",0.7,2.02878470086573,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-10,2018-11-17,1,"75%",0.75,2.02878470086573,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-10,2018-11-17,1,"80%",0.8,2.02878470086573,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-10,2018-11-17,1,"85%",0.85,2.02878470086573,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-10,2018-11-17,1,"90%",0.9,2.02878470086573,"ili perc","quantile","hhs1"
"HHS Region 1",2018-11-10,2018-11-17,1,"95%",0.95,2.02878470086573,"ili perc","quantile","hhs1"
