"location","origin_date","target_end_date","horizon","quantile","output_type_id","value","target","output_type","region"
"HHS Region 1",2019-02-16,2019-02-23,1,"1%",0.01,1.48615913984167,"ili perc","quantile","hhs1"
"HHS Region 1",2019-02-16,2019-02-23,1,"2.5%",0.025,1.53604396134389,"ili perc","quantile","hhs1"
"HHS Region 1",2019-02-16,2019-02-23,1,"5%",0.05,1.65669794395939,"ili perc","quantile","hhs1"
"HHS Region 1",2019-02-16,2019-02-23,1,"10%",0.1,1.88940869185367,"ili perc","quantile","hhs1"
"HHS Region 1",2019-02-16,2019-02-23,1,"15%",0.15,1.97749326243414,"ili perc","quantile","hhs1"
"HHS Region 1",2019-02-16,2019-02-23,1,"20%",0.2,2.10213277021066,"ili perc","quantile","hhs1"
"HHS Region 1",2019-02-16,2019-02-23,1,"25%",0.25,2.25726337770655,"ili perc","quantile","hhs1"
"HHS Region 1",2019-02-16,2019-02-23,1,"30%",0.3,2.33261936310765,"ili perc","quantile","hhs1"
"HHS Region 1",2019-02-16,2019-02-23,1,"35%",0.35,2.38531206196461,"ili perc","quantile","hhs1"
"HHS Region 1",2019-02-16,2019-02-23,1,"40%",0.4,2.47806729511612,"ili perc","quantile","hhs1"
"HHS Region 1",2019-02-16,2019-02-23,1,"45%",0.45,2.59347671918815,"ili perc","quantile","hhs1"
"HHS Region 1",2019-02-16,2019-02-23,1,"50%",0.5,165.691400394894,"ili perc","quantile","hhs1"
"HHS Region 1",2019-02-16,2019-02-23,1,"55%",0.55,165.691400394894,"ili perc","quantile","hhs1"
"HHS Region 1",2019-02-16,2019-02-23,1,"60%",0.6,165.691400394894,"ili perc","quantile","hhs1"
"HHS Region 1",2019-02-16,2019-02-23,1,"65%",0.65,165.691400394894,"ili perc","quantile","hhs1"
"HHS Region 1",2019-02-16,2019-02-23,1,"70%",0.7,165.691400394894,"ili perc","quantile","hhs1"
"HHS Region 1",2019-02-16,2019-02-23,1,"75%",0.75,165.691400394894,"ili perc","quantile","hhs1"
"HHS Region 1",2019-02-16,2019-02-23,1,"80%",0.8,165.691400394894,"ili perc","quantile","hhs1"
"HHS Region 1",2019-02-16,2019-02-23,1,"85%",0.85,165.691400394894,"ili perc","quantile","hhs1"
"HHS Region 1",2019-02-16,2019-02-23,1,"90%",0.9,165.691400394894,"ili perc","quantile","hhs1"
"HHS Region 1",2019-02-16,2019-02-23,1,"95%",0.95,165.691400394894,"ili perc","quantile","hhs1"
"HHS Region 1",2019-02-16,2019-02-23,1,"97.5%",0.975,165.691400394894,"ili perc","quantile","hhs1"
"HHS Region 1",2019-02-16,2019-02-23,1,"99%",0.99,165.691400394894,"ili perc","quantile","hhs1"
"HHS Region 1",2019-02-16,2019-03-02,2,"1%",0.01,1.45594254630544,"ili perc","quantile","hhs1"
"HHS Region 1",2019-02-16,2019-03-02,2,"2.5%",0.025,1.52248908227702,"ili perc","quantile","hhs1"
