"location","origin_date","target_end_date","horizon","quantile","output_type_id","value","target","output_type","region"
"HHS Region 1",2019-11-16,2019-11-23,1,"1%",0.01,0.936813481113476,"ili perc","quantile","hhs1"
"HHS Region 1",2019-11-16,2019-11-23,1,"2.5%",0.025,0.951296394151984,"ili perc","quantile","hhs1"
"HHS Region 1",2019-11-16,2019-11-23,1,"5%",0.05,1.01264325039706,"ili perc","quantile","hhs1"
"HHS Region 1",2019-11-16,2019-11-23,1,"10%",0.1,1.11634879671502,"ili perc","quantile","hhs1"
"HHS Region 1",2019-11-16,2019-11-23,1,"15%",0.15,1.17301450188395,"ili perc","quantile","hhs1"
"HHS Region 1",2019-11-16,2019-11-23,1,"20%",0.2,1.24162636818048,"ili perc","quantile","hhs1"
"HHS Region 1",2019-11-16,2019-11-23,1,"25%",0.25,1.31457491251268,"ili perc","quantile","hhs1"
"HHS Region 1",2019-11-16,2019-11-23,1,"30%",0.3,1.35149296249236,"ili perc","quantile","hhs1"
"HHS Region 1",2019-11-16,2019-11-23,1,"35%",0.35,1.37396836145131,"ili perc","quantile","hhs1"
"HHS Region 1",2019-11-16,2019-11-23,1,"40%",0.4,1.41108198686679,"ili perc","quantile","hhs1"
"HHS Region 1",2019-11-16,2019-11-23,1,"45%",0.45,1.47802695435701,"ili perc","quantile","hhs1"
"HHS Region 1",2019-11-16,2019-11-23,1,"50%",0.5,4.87047212384248,"ili perc","quantile","hhs1"
"HHS Region 1",2019-11-16,2019-11-23,1,"55%",0.55,4.87047212384248,"ili perc","quantile","hhs1"
"HHS Region 1",2019-11-16,2019-11-23,1,"60%",0.6,4.87047212384248,"ili perc","quantile","hhs1"
"HHS Region 1",2019-11-16,2019-11-23,1,"65%",0.65,4.87047212384248,"ili perc","quantile","hhs1"
"HHS Region 1",2019-11-16,2019-11-23,1,"70%",0.7,4.87047212384248,"ili perc","quantile","hhs1"
"HHS Region 1",2019-11-16,2019-11-23,1,"75%",0.75,4.87047212384248,"ili perc","quantile","hhs1"
"HHS Region 1",2019-11-16,2019-11-23,1,"80%",0.8,4.87047212384248,"ili perc","quantile","hhs1"
"HHS Region 1",2019-11-16,2019-11-23,1,"85%",0.85,4.87047212384248,"ili perc","quantile","hhs1"
"HHS Region 1",2019-11-16,2019-11-23,1,"90%",0.9,4.87047212384248,"ili perc","quantile","hhs1"
