"location","origin_date","target_end_date","horizon","quantile","output_type_id","value","target","output_type","region"
"HHS Region 1",2019-01-05,2019-01-12,1,"1%",0.01,1.75491385455489,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-12,1,"2.5%",0.025,1.75491385455489,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-12,1,"5%",0.05,1.90676926015092,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-12,1,"10%",0.1,2.13310951949242,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-12,1,"15%",0.15,2.22505710232917,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-12,1,"20%",0.2,2.37540903920174,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-12,1,"25%",0.25,2.55111204167861,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-12,1,"30%",0.3,2.63312502675186,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-12,1,"35%",0.35,2.7100714456931,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-12,1,"40%",0.4,2.77827088480973,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-12,1,"45%",0.45,2.88234999689914,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-12,1,"50%",0.5,145.160286094194,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-12,1,"55%",0.55,145.160286094194,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-12,1,"60%",0.6,145.160286094194,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-12,1,"65%",0.65,145.160286094194,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-12,1,"70%",0.7,145.160286094194,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-12,1,"75%",0.75,145.160286094194,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-12,1,"80%",0.8,145.160286094194,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-12,1,"85%",0.85,145.160286094194,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-12,1,"90%",0.9,145.160286094194,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-12,1,"95%",0.95,145.160286094194,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-12,1,"97.5%",0.975,145.160286094194,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-12,1,"99%",0.99,145.160286094194,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-19,2,"1%",0.01,1.74923080119048,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-19,2,"2.5%",0.025,1.74923080119048,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-19,2,"5%",0.05,1.88879831365898,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-19,2,"10%",0.1,2.09621151884917,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-19,2,"15%",0.15,2.18217394573227,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-19,2,"20%",0.2,2.33675027678925,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-19,2,"25%",0.25,2.508810309642,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-19,2,"30%",0.3,2.59376764840684,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-19,2,"35%",0.35,2.68510220919961,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-19,2,"40%",0.4,2.75082887661361,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-19,2,"45%",0.45,2.85556037472927,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-19,2,"50%",0.5,159.154832718826,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-19,2,"55%",0.55,159.154832718826,"ili perc","quantile","hhs1"
"HHS Region 1",2019-01-05,2019-01-19,2,"60%",0.6,159.154832718826,"ili perc","quantile","hhs1"
