"location","origin_date","target_end_date","horizon","quantile","output_type_id","value","target","output_type","region"
"HHS Region 1",2020-04-18,2020-04-25,1,"1%",0.01,1.08804739417874,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-04-25,1,"2.5%",0.025,1.08804739417874,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-04-25,1,"5%",0.05,1.16642948921979,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-04-25,1,"10%",0.1,1.35605290644905,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-04-25,1,"15%",0.15,1.41333480010185,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-04-25,1,"20%",0.2,1.50737193568534,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-04-25,1,"25%",0.25,1.60731612850486,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-04-25,1,"30%",0.3,1.60731612850486,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-04-25,1,"35%",0.35,1.60731612850486,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-04-25,1,"40%",0.4,1.65837781505293,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-04-25,1,"45%",0.45,1.77166753932535,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-04-25,1,"50%",0.5,102.173172744444,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-04-25,1,"55%",0.55,102.173172744444,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-04-25,1,"60%",0.6,102.173172744444,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-04-25,1,"65%",0.65,102.173172744444,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-04-25,1,"70%",0.7,102.173172744444,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-04-25,1,"75%",0.75,102.173172744444,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-04-25,1,"80%",0.8,102.173172744444,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-04-25,1,"85%",0.85,102.173172744444,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-04-25,1,"90%",0.9,102.173172744444,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-04-25,1,"95%",0.95,102.173172744444,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-04-25,1,"97.5%",0.975,102.173172744444,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-04-25,1,"99%",0.99,102.173172744444,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-02,2,"1%",0.01,1.06655282942543,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-02,2,"2.5%",0.025,1.06655282942543,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-02,2,"5%",0.05,1.13496503946108,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-02,2,"10%",0.1,1.3090077241915,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-02,2,"15%",0.15,1.36040217151145,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-02,2,"20%",0.2,1.45898002064108,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-02,2,"25%",0.25,1.55578184878858,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-02,2,"30%",0.3,1.56590450499646,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-02,2,"35%",0.35,1.56590450499646,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-02,2,"40%",0.4,1.62206398584703,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-02,2,"45%",0.45,1.73714110126954,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-02,2,"50%",0.5,77.998061878524,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-02,2,"55%",0.55,77.998061878524,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-02,2,"60%",0.6,77.998061878524,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-02,2,"65%",0.65,77.998061878524,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-02,2,"70%",0.7,77.998061878524,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-02,2,"75%",0.75,77.998061878524,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-02,2,"80%",0.8,77.998061878524,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-02,2,"85%",0.85,77.998061878524,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-02,2,"90%",0.9,77.998061878524,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-02,2,"95%",0.95,77.998061878524,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-02,2,"97.5%",0.975,77.998061878524,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-02,2,"99%",0.99,77.998061878524,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-09,3,"1%",0.01,1.05504915360833,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-09,3,"2.5%",0.025,1.05504915360833,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-09,3,"5%",0.05,1.11202678869641,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-09,3,"10%",0.1,1.26837428601272,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-09,3,"15%",0.15,1.31381954679388,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-09,3,"20%",0.2,1.41673823536944,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-09,3,"25%",0.25,1.50989135867854,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-09,3,"30%",0.3,1.52355583963617,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-09,3,"35%",0.35,1.53730749203015,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-09,3,"40%",0.4,1.59135603303022,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-09,3,"45%",0.45,1.70750335894529,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-09,3,"50%",0.5,77.9413796271493,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-09,3,"55%",0.55,77.9413796271493,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-09,3,"60%",0.6,77.9413796271493,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-09,3,"65%",0.65,77.9413796271493,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-09,3,"70%",0.7,77.9413796271493,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-09,3,"75%",0.75,77.9413796271493,"ili perc","quantile","hhs1"
"HHS Region 1",2020-04-18,2020-05-09,3,"80%",0.8,77.9413796271493,"ili perc","quantile","hhs1"
