"location","origin_date","target_end_date","horizon","quantile","output_type_id","value","target","output_type","region"
"HHS Region 1",2020-02-29,2020-03-07,1,"1%",0.01,2.0303029265699,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-07,1,"2.5%",0.025,2.0303029265699,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-07,1,"5%",0.05,2.0303029265699,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-07,1,"10%",0.1,2.26594903282285,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-07,1,"15%",0.15,2.33598648730231,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-07,1,"20%",0.2,2.48521200057507,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-07,1,"25%",0.25,2.64948397223804,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-07,1,"30%",0.3,2.66995319345853,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-07,1,"35%",0.35,2.67344983522804,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-07,1,"40%",0.4,2.7520304099545,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-07,1,"45%",0.45,2.91151977622621,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-07,1,"50%",0.5,407.1192153961,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-07,1,"55%",0.55,407.1192153961,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-07,1,"60%",0.6,407.1192153961,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-07,1,"65%",0.65,407.1192153961,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-07,1,"70%",0.7,407.1192153961,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-07,1,"75%",0.75,407.1192153961,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-07,1,"80%",0.8,407.1192153961,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-07,1,"85%",0.85,407.1192153961,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-07,1,"90%",0.9,407.1192153961,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-07,1,"95%",0.95,407.1192153961,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-07,1,"97.5%",0.975,407.1192153961,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-07,1,"99%",0.99,407.1192153961,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-14,2,"1%",0.01,2.00659470954859,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-14,2,"2.5%",0.025,2.00659470954859,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-14,2,"5%",0.05,2.00659470954859,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-14,2,"10%",0.1,2.21965256155892,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-14,2,"15%",0.15,2.28379536018957,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-14,2,"20%",0.2,2.43753824734699,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-14,2,"25%",0.25,2.59815281941815,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-14,2,"30%",0.3,2.62241627218231,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-14,2,"35%",0.35,2.64000638340116,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-14,2,"40%",0.4,2.7163711891094,"ili perc","quantile","hhs1"
"HHS Region 1",2020-02-29,2020-03-14,2,"45%",0.45,2.87756420004405,"ili perc","quantile","hhs1"
