"location","origin_date","target_end_date","horizon","quantile","output_type_id","value","target","output_type","region"
"HHS Region 1",2015-12-26,2016-01-02,1,"1%",0.01,1.09818434442305,"ili perc","quantile","hhs1"
"HHS Region 1",2015-12-26,2016-01-02,1,"2.5%",0.025,1.15128548904966,"ili perc","quantile","hhs1"
"HHS Region 1",2015-12-26,2016-01-02,1,"5%",0.05,1.22017942052131,"ili perc","quantile","hhs1"
"HHS Region 1",2015-12-26,2016-01-02,1,"10%",0.1,1.31524323291499,"ili perc","quantile","hhs1"
"HHS Region 1",2015-12-26,2016-01-02,1,"15%",0.15,1.39402180684969,"ili perc","quantile","hhs1"
"HHS Region 1",2015-12-26,2016-01-02,1,"20%",0.2,1.46874617659737,"ili perc","quantile","hhs1"
"HHS Region 1",2015-12-26,2016-01-02,1,"25%",0.25,1.56591410680501,"ili perc","quantile","hhs1"
"HHS Region 1",2015-12-26,2016-01-02,1,"30%",0.3,1.61179692760918,"ili perc","quantile","hhs1"
"HHS Region 1",2015-12-26,2016-01-02,1,"35%",0.35,1.66864884421156,"ili perc","quantile","hhs1"
"HHS Region 1",2015-12-26,2016-01-02,1,"40%",0.4,1.74215156124614,"ili perc","quantile","hhs1"
"HHS Region 1",2015-12-26,2016-01-02,1,"45%",0.45,1.81247708796517,"ili perc","quantile","hhs1"
"HHS Region 1",2015-12-26,2016-01-02,1,"50%",0.5,2.85497002219724,"ili perc","quantile","hhs1"
"HHS Region 1",2015-12-26,2016-01-02,1,"55%",0.55,2.85497002219724,"ili perc","quantile","hhs1"
"HHS Region 1",2015-12-26,2016-01-02,1,"60%",0.6,2.85497002219724,"ili perc","quantile","hhs1"
"HHS Region 1",2015-12-26,2016-01-02,1,"65%",0.65,2.85497002219724,"ili perc","quantile","hhs1"
"HHS Region 1",2015-12-26,2016-01-02,1,"70%",0.7,2.85497002219724,"ili perc","quantile","hhs1"
"HHS Region 1",2015-12-26,2016-01-02,1,"75%",0.75,2.85497002219724,"ili perc","quantile","hhs1"
"HHS Region 1",2015-12-26,2016-01-02,1,"80%",0.8,2.85497002219724,"ili perc","quantile","hhs1"
"HHS Region 1",2015-12-26,2016-01-02,1,"85%",0.85,2.85497002219724,"ili perc","quantile","hhs1"
"HHS Region 1",2015-12-26,2016-01-02,1,"90%",0.9,2.85497002219724,"ili perc","quantile","hhs1"
"HHS Region 1",2015-12-26,2016-01-02,1,"95%",0.95,2.85497002219724,"ili perc","quantile","hhs1"
